Channel 1	Channel 2
0.570571	4.598639
0.575576	4.601442
0.580581	4.598479
0.585586	4.599600
0.590591	4.600401
0.595596	4.598799
0.600601	4.595596
0.605606	4.595516
0.610611	4.594715
0.615616	4.589189
0.620621	4.585265
0.625626	4.583023
0.630631	4.579178
0.635636	4.575094
0.640641	4.573092
0.645646	4.572772
0.650651	4.577977
0.655656	4.583183
0.660661	4.584144
0.665666	4.580139
0.670671	4.574453
0.675676	4.568767
0.680681	4.563802
0.685686	4.567006
0.690691	4.574373
0.695696	4.575895
0.700701	4.570049
0.705706	4.559558
0.710711	4.560038
0.715716	4.569889
0.720721	4.570369
0.725726	4.561239
0.730731	4.551469
0.735736	4.557876
0.740741	4.559958
0.745746	4.548426
0.750751	4.542419
0.755756	4.554833
0.760761	4.551870
0.765766	4.536013
0.770771	4.540898
0.775776	4.551229
0.780781	4.539376
0.785786	4.535372
0.790791	4.546824
0.795796	4.536253
0.800801	4.532169
0.805806	4.544261
0.810811	4.535532
0.815816	4.529286
0.820821	4.538736
0.825826	4.525842
0.830831	4.520236
0.835836	4.531928
0.840841	4.520396
0.845846	4.518394
0.850851	4.525201
0.855856	4.510546
0.860861	4.508464
0.865866	4.518314
0.870871	4.508143
0.875876	4.512067
0.880881	4.514150
0.885886	4.500135
0.890891	4.516792
0.895896	4.503658
0.900901	4.515511
0.905906	4.504059
0.910911	4.509024
0.915916	4.511907
0.920921	4.499814
0.925926	4.513108
0.930931	4.506782
0.935936	4.501656
0.940941	4.512388
0.945946	4.507022
0.950951	4.495890
0.955956	4.503498
0.960961	4.508704
0.965966	4.499574
0.970971	4.492447
0.975976	4.496211
0.980981	4.502057
0.985986	4.498213
0.990991	4.482836
0.995996	4.478031
1.001001	4.486120
1.006006	4.491566
1.011011	4.489403
1.016016	4.484198
1.021021	4.477230
1.026026	4.469382
1.031031	4.469943
1.036036	4.469783
1.041041	4.474187
1.046046	4.473947
1.051051	4.475388
1.056056	4.478912
1.061061	4.477791
1.066066	4.474908
1.071071	4.471865
1.076076	4.472425
1.081081	4.466819
1.086086	4.464337
1.091091	4.461854
1.096096	4.463376
1.101101	4.458010
1.106106	4.454086
1.111111	4.450802
1.116116	4.448400
1.121121	4.441593
1.126126	4.433424
1.131131	4.428138
1.136136	4.426296
1.141141	4.425576
1.146146	4.426537
1.151151	4.427898
1.156156	4.430701
1.161161	4.431342
1.166166	4.420450
1.171171	4.411321
1.176176	4.404513
1.181181	4.406435
1.186186	4.414924
1.191191	4.414204
1.196196	4.406996
1.201201	4.395224
1.206206	4.389297
1.211211	4.392821
1.216216	4.397226
1.221221	4.389537
1.226226	4.376083
1.231231	4.369676
1.236236	4.373521
1.241241	4.373921
1.246246	4.362709
1.251251	4.349895
1.256256	4.352138
1.261261	4.358465
1.266266	4.352939
1.271271	4.337082
1.276276	4.334599
1.281281	4.343729
1.286286	4.339645
1.291291	4.325309
1.296296	4.320264
1.301301	4.323147
1.306306	4.321225
1.311311	4.308171
1.316316	4.299362
1.321321	4.303606
1.326326	4.299923
1.331331	4.285267
1.336336	4.278220
1.341341	4.280142
1.346346	4.279821
1.351351	4.270932
1.356356	4.256356
1.361361	4.250190
1.366366	4.249069
1.371371	4.248588
1.376376	4.246426
1.381381	4.239138
1.386386	4.225924
1.391391	4.225524
1.396396	4.216554
1.401401	4.211108
1.406406	4.204622
1.411411	4.208786
1.416416	4.193089
1.421421	4.202459
1.426426	4.183079
1.431431	4.189726
1.436436	4.177553
1.441441	4.172347
1.446446	4.173789
1.451451	4.158893
1.456456	4.161936
1.461461	4.160335
1.466466	4.144478
1.471471	4.141755
1.476476	4.142556
1.481481	4.129983
1.486486	4.118851
1.491491	4.119732
1.496496	4.120613
1.501502	4.107158
1.506507	4.092823
1.511512	4.091622
1.516517	4.094825
1.521522	4.085616
1.526527	4.072722
1.531532	4.064313
1.536537	4.058787
1.541542	4.055263
1.546547	4.053742
1.551552	4.055023
1.556557	4.048857
1.561562	4.041249
1.566567	4.034522
1.571572	4.027554
1.576577	4.016262
1.581582	4.008494
1.586587	4.001927
1.591592	3.995120
1.596597	3.985750
1.601602	3.980304
1.606607	3.973096
1.611612	3.965569
1.616617	3.957400
1.621622	3.951634
1.626627	3.948510
1.631632	3.942424
1.636637	3.936097
1.641642	3.930652
1.646647	3.922643
1.651652	3.915355
1.656657	3.901421
1.661662	3.888687
1.666667	3.877956
1.671672	3.874272
1.676677	3.871389
1.681682	3.867545
1.686687	3.859536
1.691692	3.846242
1.696697	3.834870
1.701702	3.830225
1.706707	3.827422
1.711712	3.820295
1.716717	3.806200
1.721722	3.795148
1.726727	3.791464
1.731732	3.786659
1.736737	3.774566
1.741742	3.759270
1.746747	3.755026
1.751752	3.753664
1.756757	3.737567
1.761762	3.723392
1.766767	3.721630
1.771772	3.716185
1.776777	3.700007
1.781782	3.695923
1.786787	3.691599
1.791792	3.674220
1.796797	3.667813
1.801802	3.666372
1.806807	3.649714
1.811812	3.642266
1.816817	3.637381
1.821822	3.619522
1.826827	3.612795
1.831832	3.609271
1.836837	3.591733
1.841842	3.584926
1.846847	3.579400
1.851852	3.560980
1.856857	3.555535
1.861862	3.548007
1.866867	3.532710
1.871872	3.524141
1.876877	3.512049
1.881882	3.503800
1.886887	3.505161
1.891892	3.489705
1.896897	3.489865
1.901902	3.471205
1.906907	3.473688
1.911912	3.456069
1.916917	3.450143
1.921922	3.444297
1.926927	3.425157
1.931932	3.425157
1.936937	3.416988
1.941942	3.399850
1.946947	3.396406
1.951952	3.392162
1.956957	3.373983
1.961962	3.363091
1.966967	3.361009
1.971972	3.349397
1.976977	3.333780
1.981982	3.323770
1.986987	3.318724
1.991992	3.309514
1.996997	3.296300
2.002002	3.281645
2.007007	3.268751
2.012012	3.260342
2.017017	3.254016
2.022022	3.246888
2.027027	3.234395
2.032032	3.223103
2.037037	3.210930
2.042042	3.198918
2.047047	3.187866
2.052052	3.178496
2.057057	3.169526
2.062062	3.158795
2.067067	3.147583
2.072072	3.138133
2.077077	3.127882
2.082082	3.116350
2.087087	3.105299
2.092092	3.095368
2.097097	3.083275
2.102102	3.069260
2.107107	3.057648
2.112112	3.047317
2.117117	3.035625
2.122122	3.022891
2.127127	3.013041
2.132132	3.002150
2.137137	2.994061
2.142142	2.982929
2.147147	2.971237
2.152152	2.959705
2.157157	2.946651
2.162162	2.933757
2.167167	2.918301
2.172172	2.907329
2.177177	2.899641
2.182182	2.891072
2.187187	2.878499
2.192192	2.863443
2.197197	2.850229
2.202202	2.838857
2.207207	2.829327
2.212212	2.819877
2.217217	2.804421
2.222222	2.789445
2.227227	2.777112
2.232232	2.768302
2.237237	2.755729
2.242242	2.737790
2.247247	2.721133
2.252252	2.711282
2.257257	2.703354
2.262262	2.688618
2.267267	2.672361
2.272272	2.659307
2.277277	2.652580
2.282282	2.642810
2.287287	2.625271
2.292292	2.611176
2.297297	2.600845
2.302302	2.590915
2.307307	2.575539
2.312312	2.559282
2.317317	2.549912
2.322322	2.537098
2.327327	2.519880
2.332332	2.504824
2.337337	2.494974
2.342342	2.482400
2.347347	2.467985
2.352352	2.450767
2.357357	2.438674
2.362362	2.427622
2.367367	2.416170
2.372372	2.401515
2.377377	2.387580
2.382382	2.372044
2.387387	2.360592
2.392392	2.343133
2.397397	2.336166
2.402402	2.316545
2.407407	2.308216
2.412412	2.291959
2.417417	2.283230
2.422422	2.266733
2.427427	2.257523
2.432432	2.241986
2.437437	2.230454
2.442442	2.220284
2.447447	2.202905
2.452452	2.193776
2.457457	2.180321
2.462462	2.164545
2.467467	2.153813
2.472472	2.142121
2.477477	2.124983
2.482482	2.113691
2.487487	2.104241
2.492492	2.090306
2.497497	2.073809
2.502503	2.060835
2.507508	2.048903
2.512513	2.035849
2.517518	2.021914
2.522523	2.006298
2.527528	1.994685
